         21624757 function calls (21476474 primitive calls) in 52.705 seconds

   Ordered by: cumulative time
   List reduced from 2352 to 1077 due to restriction <'mlx'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.038    0.038 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connection.py:718(connect)
     3778    0.007    0.000    0.038    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:515(find_neighbors)
     2194    0.020    0.000    0.038    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/cleaners/core.py:441(clean_extra_whitespace_with_index_run)
     5746    0.017    0.000    0.037    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:788(add)
        1    0.000    0.000    0.036    0.036 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2111(_from_pretrained)
   179082    0.027    0.000    0.036    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:195(is_voverlap)
    39285    0.017    0.000    0.035    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:838(dist)
        1    0.000    0.000    0.034    0.034 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connection.py:895(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.034    0.034 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/util/ssl_.py:410(ssl_wrap_socket)
     2495    0.017    0.000    0.034    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1612(_annotate_second_pass)
       35    0.000    0.000    0.033    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfpage.py:84(create_pages)
      770    0.001    0.000    0.031    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/__init__.py:127(word_tokenize)
      612    0.001    0.000    0.030    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text_type.py:91(is_possible_title)
   214805    0.030    0.000    0.030    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:164(set_bbox)
        1    0.000    0.000    0.030    0.030 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
    16109    0.016    0.000    0.029    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:334(_parse_literal)
     1497    0.009    0.000    0.027    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/utils/xycut.py:43(split_projection_profile)
     1019    0.016    0.000    0.027    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text_type.py:237(under_non_alpha_ratio)
      140    0.000    0.000    0.027    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3503(prepare_for_model)
     3115    0.012    0.000    0.025    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/documents/elements.py:217(__init__)
   138916    0.018    0.000    0.025    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:342(_is_whitespace)
       41    0.000    0.000    0.025    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/cmapdb.py:288(run)
        1    0.006    0.006    0.024    0.024 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:98(__init__)
        1    0.000    0.000    0.024    0.024 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/util/ssl_.py:508(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.023    0.023 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf.py:875(_partition_pdf_with_pdfparser)
      549    0.000    0.000    0.023    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/nlp/tokenize.py:56(word_tokenize)
      806    0.004    0.000    0.023    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/destructive.py:121(tokenize)
        1    0.000    0.000    0.022    0.022 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector.py:141(get_probabilities)
       68    0.001    0.000    0.022    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:784(extend)
        1    0.000    0.000    0.022    0.022 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector.py:146(_detect_block)
     1934    0.009    0.000    0.021    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:800(remove)
        1    0.000    0.000    0.021    0.021 /Users/faisalm/dev/mlx-community/mlx-rag/vdb.py:81(savez)
        1    0.000    0.000    0.021    0.021 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector_factory.py:120(init_factory)
        1    0.001    0.001    0.021    0.021 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector_factory.py:35(load_profile)
        1    0.017    0.017    0.021    0.021 {built-in method mlx.core.savez}
    68378    0.021    0.000    0.021    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:378(drange)
        1    0.000    0.000    0.021    0.021 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pikepdf/exceptions.py:1(<module>)
    91434    0.021    0.000    0.021    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:291(translate_matrix)
        1    0.000    0.000    0.020    0.020 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pikepdf/models/__init__.py:1(<module>)
        1    0.008    0.008    0.020    0.020 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector.py:182(_extract_ngrams)
      171    0.000    0.000    0.019    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdftypes.py:196(list_value)
    35178    0.010    0.000    0.019    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:327(do_keyword)
        1    0.000    0.000    0.019    0.019 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/__init__.py:96(_get_punkt_tokenizer)
        1    0.000    0.000    0.019    0.019 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1742(__init__)
        1    0.000    0.000    0.018    0.018 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1746(load_lang)
   967/34    0.001    0.000    0.018    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:673(analyze)
        1    0.000    0.000    0.018    0.018 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1757(load_punkt_params)
  1968/34    0.001    0.000    0.018    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:433(analyze)
    34357    0.009    0.000    0.018    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:42(whitespace_tokenize)
    72149    0.010    0.000    0.018    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:210(fillbuf)
    88552    0.014    0.000    0.018    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:177(is_hoverlap)
      950    0.008    0.000    0.017    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/converter.py:112(paint_path)
      280    0.001    0.000    0.017    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:186(build_inputs_with_special_tokens)
       34    0.000    0.000    0.017    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfpage.py:48(__init__)
     1001    0.000    0.000    0.016    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:646(analyze)
    63801    0.010    0.000    0.016    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:429(push)
        1    0.003    0.003    0.016    0.016 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tabdata.py:105(tab2intdict)
   143/35    0.000    0.000    0.016    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfpage.py:86(depth_first_search)
       14    0.001    0.000    0.015    0.001 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:133(get_encoding)
      823    0.001    0.000    0.015    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:628(do_S)
   138617    0.015    0.000    0.015    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/casting.py:17(safe_float)
     3784    0.010    0.000    0.015    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:484(analyze)
     2495    0.001    0.000    0.014    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:584(_annotate_first_pass)
     1497    0.006    0.000    0.014    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:5456(insert)
    11263    0.010    0.000    0.013    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:576(end_type)
        2    0.005    0.002    0.013    0.006 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tabdata.py:49(tab2tups)
        6    0.000    0.000    0.013    0.002 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/tqdm/std.py:760(get_lock)
        1    0.008    0.008    0.013    0.013 /Users/faisalm/dev/mlx-community/mlx-rag/vdb.py:38(chunks_to_mx_array)
    76166    0.013    0.000    0.013    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:91(intern)
   253986    0.013    0.000    0.013    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:406(get_text)
    35178    0.010    0.000    0.013    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:128(keyword_name)
        2    0.000    0.000    0.012    0.006 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/tqdm/contrib/concurrent.py:15(ensure_lock)
     1039    0.001    0.000    0.012    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/documents/elements.py:808(__init__)
        2    0.000    0.000    0.012    0.006 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/tqdm/std.py:90(__init__)
        2    0.000    0.000    0.012    0.006 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/tqdm/std.py:116(create_mp_lock)
   138916    0.012    0.000    0.012    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:383(_is_chinese_char)
     8529    0.003    0.000    0.012    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:457(__init__)
        1    0.006    0.006    0.012    0.012 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:31(load_vocab)
     1308    0.003    0.000    0.012    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:319(_get_features)
   119407    0.011    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/documents/elements.py:317(__setattr__)
      260    0.006    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_processing.py:972(map_bbox_and_index)
     1497    0.007    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/utils/xycut.py:15(projection_by_bboxes)
    90909    0.007    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:909(<lambda>)
    99266    0.011    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:559(popall)
      103    0.000    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdftypes.py:215(stream_value)
        1    0.000    0.000    0.011    0.011 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/mlx/nn/layers/base.py:93(load_weights)
   190967    0.011    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:904(is_vertical)
     2495    0.002    0.000    0.011    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:554(_tokenize_words)
        1    0.000    0.000    0.011    0.011 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pikepdf/models/image.py:1(<module>)
     3200    0.001    0.000    0.010    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/cleaners/core.py:311(remove_punctuation)
      771    0.003    0.000    0.010    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_processing.py:868(check_annotations_within_element)
     1001    0.000    0.000    0.010    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text_type.py:302(is_us_city_state_zip)
     8529    0.002    0.000    0.009    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:439(__init__)
    80637    0.009    0.000    0.009    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1111(<genexpr>)
    91434    0.009    0.000    0.009    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:917(get_descent)
     9996    0.004    0.000    0.009    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/utils/ngram.py:31(add_char)
    11263    0.005    0.000    0.009    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:571(start_type)
      140    0.000    0.000    0.009    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:598(num_special_tokens_to_add)
      967    0.001    0.000    0.009    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:667(__init__)
    18312    0.006    0.000    0.008    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:325(add)
    10198    0.006    0.000    0.008    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:441(_parse_string_1)
      140    0.000    0.000    0.008    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3459(create_token_type_ids_from_sequences)
     3784    0.001    0.000    0.008    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:501(__init__)
        1    0.000    0.000    0.008    0.008 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/PIL/ImageCms.py:1(<module>)
    30780    0.008    0.000    0.008    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:432(pop)
        2    0.000    0.000    0.007    0.004 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/_snapshot_download.py:28(snapshot_download)
     1947    0.003    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfparser.py:55(do_keyword)
        1    0.000    0.000    0.007    0.007 /Users/faisalm/dev/mlx-community/mlx-rag/model.py:98(__init__)
     6765    0.003    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:990(do_Tf)
     3784    0.001    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:477(__init__)
     7356    0.003    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_processing.py:1015(calculate_intersection_area)
     2577    0.004    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:1353(_match_potential_end_contexts)
     8572    0.002    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:416(__init__)
        1    0.000    0.000    0.007    0.007 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/tqdm/contrib/concurrent.py:54(thread_map)
        1    0.000    0.000    0.007    0.007 /Users/faisalm/dev/mlx-community/mlx-rag/model.py:61(__init__)
       24    0.000    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/model.py:32(__init__)
        1    0.003    0.003    0.007    0.007 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/langdetect/detector.py:99(append)
        1    0.000    0.000    0.007    0.007 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/tqdm/contrib/concurrent.py:29(_executor_map)
     9065    0.005    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:149(copy)
    25355    0.005    0.000    0.007    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:356(uniq)
        1    0.000    0.000    0.006    0.006 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3280(pad)
    20403    0.004    0.000    0.006    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tabdata.py:46(tab2tup)
      145    0.000    0.000    0.006    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/mlx/nn/layers/linear.py:47(__init__)
     1497    0.002    0.000    0.006    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/numpy/_core/numeric.py:1448(moveaxis)
        1    0.002    0.002    0.006    0.006 {built-in method mlx.core.load}
      140    0.001    0.000    0.006    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3765(_pad)
      967    0.001    0.000    0.006    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:429(extend)
      290    0.006    0.000    0.006    0.000 {built-in method mlx.core.random.uniform}
     7940    0.004    0.000    0.006    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:409(choplist)
     3778    0.001    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:634(__init__)
    91434    0.005    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:951(char_disp)
    28436    0.005    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:910(decode)
    13503    0.004    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:114(literal_name)
        1    0.000    0.000    0.005    0.005 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfdocument.py:698(__init__)
        1    0.001    0.001    0.005    0.005 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pikepdf/models/metadata.py:1(<module>)
     3248    0.003    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/casting.py:24(safe_matrix)
     5774    0.004    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:1037(do_Td)
     2299    0.001    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:1078(do_Tm)
    58860    0.005    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tag/perceptron.py:68(<lambda>)
     1831    0.002    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:401(__init__)
      950    0.001    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:223(__init__)
        1    0.000    0.000    0.005    0.005 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfdocument.py:989(read_xref_from)
       34    0.000    0.000    0.005    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfpage.py:212(_parse_contents)
        1    0.001    0.001    0.004    0.004 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfdocument.py:141(load)
    17801    0.003    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:420(__iter__)
     9061    0.004    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:277(mult_matrix)
       24    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/mlx/nn/layers/transformer.py:47(__init__)
     1043    0.001    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:547(seek)
        1    0.001    0.001    0.004    0.004 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/common/metadata.py:64(set_element_hierarchy)
       94    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdftypes.py:402(get_data)
       94    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdftypes.py:312(decode)
      863    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:256(__init__)
      762    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/nltk/tokenize/punkt.py:267(word_tokenize)
    20194    0.004    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/utils.py:764(<genexpr>)
       94    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:537(__init__)
      861    0.001    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/cmapdb.py:311(do_keyword)
       94    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/psparser.py:170(__init__)
     1497    0.002    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:5644(append)
       51    0.001    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/encodingdb.py:107(get_encoding)
      286    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:262(fillfp)
     1497    0.001    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3052(max)
       38    0.000    0.000    0.004    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:254(__init__)
        1    0.000    0.000    0.003    0.003 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pikepdf/_methods.py:1(<module>)
       38    0.000    0.000    0.003    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:271(seek)
