         21624757 function calls (21476474 primitive calls) in 52.705 seconds

   Ordered by: cumulative time
   List reduced from 2352 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.585    0.015 /Users/faisalm/.vscode/extensions/ms-python.debugpy-2025.14.1-darwin-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm.py:217(_read_line)
       19    0.445    0.023    0.585    0.031 {method 'recv' of '_socket.socket' objects}
    40486    0.010    0.000    0.582    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils.py:732(_convert_token_to_id_with_added_voc)
    37864    0.016    0.000    0.570    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:173(_convert_token_to_id)
39841/38860    0.539    0.000    0.568    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1105(__getattr__)
      140    0.009    0.000    0.517    0.004 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:158(_tokenize)
     3818    0.082    0.000    0.514    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:702(group_objects)
     1564    0.112    0.000    0.498    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/zipfile/__init__.py:964(read)
        4    0.000    0.000    0.434    0.109 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/requests/sessions.py:500(request)
        4    0.000    0.000    0.431    0.108 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/requests/sessions.py:673(send)
        4    0.000    0.000    0.428    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/huggingface_hub/utils/_http.py:90(send)
        4    0.000    0.000    0.428    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/requests/adapters.py:590(send)
        4    0.000    0.000    0.427    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
        4    0.000    0.000    0.426    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
      140    0.017    0.000    0.423    0.003 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/models/bert/tokenization_bert.py:299(tokenize)
     1039    0.003    0.000    0.389    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/text.py:111(element_from_text)
      782    0.001    0.000    0.381    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/zipfile/__init__.py:1046(_read1)
    91434    0.108    0.000    0.371    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/layout.py:355(__init__)
     2655    0.346    0.000    0.346    0.000 {method 'read' of '_io.BufferedReader' objects}


